<?xml version="1.0" encoding="UTF-8"?>
<map version="1.2" tiledversion="1.3.4" orientation="orthogonal" renderorder="right-down" width="48" height="12" tilewidth="32" tileheight="32" infinite="0" nextlayerid="3" nextobjectid="29">
 <tileset firstgid="1" name="0" tilewidth="32" tileheight="32" tilecount="153" columns="17">
  <image source="0.png" width="544" height="288"/>
 </tileset>
 <layer id="1" name="Tile Layer 1" width="48" height="12">
  <data encoding="csv">
76,77,76,77,143,144,42,43,76,77,105,106,8,9,76,77,105,106,27,28,94,96,132,133,76,77,130,131,143,144,132,133,76,77,130,131,105,106,132,133,76,77,10,11,8,9,46,115,
93,94,93,94,110,111,59,60,93,94,110,111,25,26,76,77,110,111,44,45,93,94,149,150,93,94,147,148,110,111,149,150,93,94,147,148,110,111,149,150,93,94,27,11,25,26,63,115,
76,77,42,43,110,111,76,77,76,77,110,111,79,79,76,77,110,111,61,62,42,43,76,77,105,106,130,131,110,111,132,133,105,106,130,131,110,111,132,133,143,144,27,28,79,79,80,115,
93,94,59,60,110,111,93,94,93,94,110,111,79,79,76,77,110,111,78,93,59,60,76,77,110,111,147,148,110,111,149,150,110,111,147,148,110,111,149,150,110,111,44,45,79,79,97,115,
60,148,3,3,3,3,12,13,76,77,110,111,79,79,76,77,110,111,95,94,76,77,76,77,110,111,76,77,110,111,76,77,110,111,76,77,110,111,8,9,110,111,95,77,79,79,32,66,
81,81,81,81,81,81,81,30,14,94,110,111,79,79,93,94,110,111,112,93,93,94,93,94,110,111,76,77,110,111,76,77,110,111,76,77,110,111,25,26,110,111,112,94,79,79,32,66,
27,28,76,77,110,111,94,96,30,31,3,3,60,148,3,3,3,3,12,13,94,76,76,77,110,111,76,77,110,111,76,77,110,111,76,77,110,111,42,43,110,111,94,93,47,48,32,66,
44,45,93,94,110,111,76,77,29,81,81,81,81,81,81,81,81,81,81,30,14,93,93,94,110,111,76,77,110,111,76,77,110,111,76,77,110,111,59,60,110,111,148,47,64,81,81,81,
95,76,76,77,110,111,76,94,8,9,110,111,42,43,110,111,42,43,94,96,30,14,148,76,110,111,76,77,110,111,76,77,110,111,76,77,110,111,76,77,110,111,63,64,113,94,80,115,
112,93,93,94,110,111,93,94,25,26,110,111,59,60,110,111,59,60,94,114,114,30,14,94,110,111,76,77,110,111,76,77,110,111,76,77,110,111,76,77,110,111,81,92,29,94,97,115,
62,148,60,148,22,5,60,148,60,148,22,5,60,148,22,5,60,148,60,148,60,148,30,31,22,5,60,94,22,5,60,94,22,5,60,94,22,5,60,94,22,5,60,148,60,148,114,115,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
</data>
 </layer>
 <objectgroup id="2" name="Object Layer 1">
  <object id="1" x="30" y="96" width="32" height="62"/>
  <object id="2" x="0" y="160" width="224" height="32"/>
  <object id="4" x="287" y="224" width="320" height="32"/>
  <object id="5" x="1438" y="224" width="96" height="32"/>
  <object id="6" x="1345" y="287" width="32" height="32"/>
  <object id="7" x="0" y="353" width="1533" height="32"/>
  <object id="8" x="1504" y="96" width="32" height="32"/>
  <object id="9" x="182" y="96" width="16" height="32"/>
  <object id="10" x="309" y="160" width="16" height="32"/>
  <object id="11" x="439" y="97" width="16" height="32"/>
  <object id="12" x="55" y="224" width="16" height="32"/>
  <object id="13" x="567" y="288" width="16" height="32"/>
  <object id="14" x="696" y="224" width="16" height="32"/>
  <object id="15" x="822" y="287" width="16" height="32"/>
  <object id="16" x="950" y="287" width="16" height="32"/>
  <object id="17" x="1078" y="224" width="16" height="32"/>
  <object id="18" x="1206" y="287" width="16" height="32"/>
  <object id="19" x="1334" y="224" width="16" height="32"/>
  <object id="20" x="1464" y="224" width="16" height="32"/>
  <object id="21" x="224" y="97" width="32" height="62"/>
  <object id="22" x="287" y="161" width="32" height="62"/>
  <object id="23" x="607" y="160" width="33" height="62"/>
  <object id="24" x="737" y="289" width="32" height="62"/>
  <object id="25" x="1359" y="224" width="32" height="62"/>
  <object id="26" x="1407" y="160" width="32" height="62"/>
  <object id="27" x="1504" y="288" width="32" height="32"/>
  <object id="28" x="1377" y="287" width="32" height="32"/>
 </objectgroup>
</map>
