<?xml version="1.0" encoding="UTF-8"?>
<map version="1.2" tiledversion="1.3.4" orientation="orthogonal" renderorder="right-down" width="50" height="24" tilewidth="32" tileheight="32" infinite="0" nextlayerid="4" nextobjectid="63">
 <tileset firstgid="1" name="tile_map3" tilewidth="32" tileheight="32" tilecount="200" columns="10">
  <image source="../../../../tilemap/tile_map3.png" width="320" height="640"/>
 </tileset>
 <layer id="1" name="Tile Layer 1" width="50" height="24">
  <data encoding="csv">
1,1,2,3,31,31,31,31,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,0,0,
9,9,10,11,31,31,31,31,10,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,0,0,
9,9,31,31,31,31,16,17,31,31,13,13,13,13,13,13,19,20,19,20,13,13,13,13,13,13,13,13,21,22,13,13,13,13,13,13,13,13,13,13,13,13,31,20,31,20,9,9,0,0,
9,9,31,31,31,31,23,24,31,31,13,13,13,13,13,13,31,31,31,31,13,13,13,13,13,13,13,13,27,28,13,13,13,13,13,13,13,13,13,13,29,30,31,31,31,31,9,9,0,0,
9,9,31,31,31,31,11,84,31,31,13,13,13,13,21,22,35,36,37,38,21,22,13,13,13,13,13,13,79,80,19,20,31,20,19,20,19,20,41,30,43,43,16,17,31,31,9,9,0,0,
9,9,31,31,31,31,10,11,31,31,13,13,13,13,27,28,44,13,13,45,27,28,13,13,13,13,13,13,80,31,31,31,31,31,31,31,31,31,43,43,43,43,23,24,31,31,43,48,0,0,
9,9,31,31,16,17,39,40,9,9,13,13,139,140,9,9,13,13,13,13,31,31,21,22,21,22,19,20,57,58,31,31,31,31,51,9,116,117,85,84,16,17,31,31,31,31,43,67,0,0,
9,9,31,31,23,24,80,18,9,9,13,13,13,45,31,31,70,71,13,13,31,31,27,28,27,28,31,31,72,73,9,9,31,31,74,61,75,116,10,85,23,24,31,31,9,9,43,78,0,0,
9,9,31,31,18,80,31,31,31,31,41,30,41,30,16,17,61,62,85,86,31,31,31,31,79,80,9,9,32,33,21,22,31,31,35,36,37,38,116,117,31,31,31,31,85,84,9,97,0,0,
9,9,31,31,99,31,31,31,31,31,43,43,43,43,23,24,10,88,77,88,18,18,31,31,80,18,74,32,10,32,27,28,31,31,44,13,13,45,75,116,31,31,9,9,10,84,9,9,0,0,
9,9,9,9,100,9,16,17,16,17,9,9,9,9,9,9,9,9,9,9,21,22,9,9,31,31,13,13,9,9,31,31,31,31,13,13,21,22,9,9,9,9,31,31,31,31,9,9,0,0,
9,9,9,9,11,100,23,24,23,24,31,31,74,11,74,85,74,85,31,31,27,28,74,88,31,31,70,71,74,11,9,9,9,9,70,71,27,28,74,85,74,85,31,31,31,31,9,9,0,0,
0,0,9,9,9,9,116,117,31,31,16,17,31,31,119,120,57,58,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,35,36,127,128,
0,0,9,9,74,85,10,116,31,31,23,24,31,31,129,130,72,73,74,85,74,85,74,85,74,85,31,31,31,31,74,85,31,31,74,85,74,85,31,31,74,85,31,31,74,85,44,13,131,132,
0,0,9,9,85,86,31,31,116,117,31,31,31,31,129,130,137,138,85,86,35,36,37,38,32,86,16,17,35,36,37,38,121,122,85,86,35,36,37,38,16,17,35,36,37,38,21,22,131,132,
0,0,9,9,10,85,31,31,10,116,31,31,31,31,129,130,145,146,10,85,44,13,13,45,75,85,23,24,44,13,13,45,72,73,10,85,44,13,13,45,23,24,44,13,13,45,27,28,131,132,
0,0,9,9,31,31,31,31,31,31,116,117,16,17,129,130,85,84,16,17,13,13,13,13,16,17,85,84,153,13,41,30,137,138,31,31,153,13,13,13,85,86,13,13,13,13,85,84,131,132,
0,0,9,9,31,31,31,31,31,31,10,116,23,24,129,130,10,85,23,24,157,158,29,30,23,24,10,85,159,13,43,43,145,146,31,31,159,13,160,13,10,85,157,158,29,30,10,84,131,132,
0,0,9,9,16,17,31,31,9,9,9,9,9,9,129,130,163,164,85,84,163,164,165,166,85,84,16,17,169,13,43,43,85,84,31,31,169,13,168,13,16,17,13,13,165,166,31,31,9,9,
0,0,9,9,23,24,31,31,74,85,74,85,74,85,129,130,27,28,75,85,27,28,43,43,10,85,23,24,171,13,43,43,10,85,31,31,171,13,171,13,23,24,157,158,43,43,31,31,43,48,
0,0,9,9,9,9,31,31,16,17,31,31,85,84,129,130,85,86,16,17,9,9,74,32,31,31,31,31,9,9,85,86,16,17,31,31,85,84,85,84,85,84,85,84,31,31,31,31,43,67,
0,0,9,9,74,85,31,15,23,24,31,31,10,85,129,130,10,85,23,24,74,32,10,86,31,31,31,31,74,85,10,85,23,24,31,31,10,85,10,85,10,85,10,85,31,31,31,31,43,78,
0,0,9,9,31,31,9,9,9,9,31,31,31,31,129,130,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,9,9,9,9,9,97,
0,0,9,9,31,31,74,85,74,85,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
</data>
 </layer>
 <objectgroup id="2" name="Object Layer 1">
  <object id="1" x="1486" y="640" width="32" height="62"/>
  <object id="3" x="322" y="740" width="1085" height="32"/>
  <object id="4" x="1537" y="575" width="62" height="32"/>
  <object id="5" x="1567" y="640" width="32" height="32"/>
  <object id="6" x="896" y="642" width="64" height="32"/>
  <object id="8" x="640" y="642" width="64" height="32"/>
  <object id="9" x="704" y="322" width="64" height="32"/>
  <object id="10" x="832" y="258" width="64" height="32"/>
  <object id="11" x="960" y="226" width="64" height="32"/>
  <object id="12" x="896" y="322" width="64" height="32"/>
  <object id="13" x="1344" y="290" width="64" height="32"/>
  <object id="14" x="1408" y="225" width="64" height="32"/>
  <object id="15" x="447" y="192" width="64" height="32"/>
  <object id="16" x="256" y="194" width="64" height="64"/>
  <object id="17" x="0" y="322" width="192" height="32"/>
  <object id="18" x="192" y="706" width="128" height="32"/>
  <object id="20" x="64" y="642" width="128" height="32"/>
  <object id="21" x="256" y="578" width="192" height="32"/>
  <object id="23" x="1216" y="322" width="128" height="32"/>
  <object id="24" x="960" y="354" width="128" height="32"/>
  <object id="25" x="320" y="324" width="320" height="32"/>
  <object id="26" x="1472" y="130" width="64" height="32"/>
  <object id="28" x="1474" y="258" width="64" height="32"/>
  <object id="30" x="96" y="452" width="32" height="156"/>
  <object id="31" x="32" y="130" width="32" height="156"/>
  <object id="32" x="1090" y="194" width="64" height="32"/>
  <object id="33" x="1502" y="192" width="32" height="62"/>
  <object id="34" x="367" y="512" width="32" height="62"/>
  <object id="35" x="160" y="321" width="32" height="62"/>
  <object id="36" x="110" y="258" width="32" height="62"/>
  <object id="37" x="242" y="130" width="32" height="62"/>
  <object id="38" x="750" y="258" width="32" height="62"/>
  <object id="39" x="832" y="194" width="32" height="62"/>
  <object id="40" x="1134" y="130" width="32" height="62"/>
  <object id="41" x="1264" y="258" width="32" height="62"/>
  <object id="42" x="1528" y="640" width="16" height="32"/>
  <object id="43" x="1397" y="674" width="16" height="32"/>
  <object id="44" x="1269" y="674" width="16" height="32"/>
  <object id="45" x="1141" y="674" width="16" height="32"/>
  <object id="46" x="1013" y="674" width="16" height="32"/>
  <object id="47" x="885" y="674" width="16" height="32"/>
  <object id="48" x="757" y="674" width="16" height="32"/>
  <object id="49" x="629" y="674" width="16" height="32"/>
  <object id="50" x="501" y="674" width="16" height="32"/>
  <object id="51" x="247" y="642" width="16" height="32"/>
  <object id="52" x="375" y="512" width="16" height="32"/>
  <object id="53" x="312" y="128" width="16" height="32"/>
  <object id="54" x="439" y="256" width="16" height="32"/>
  <object id="55" x="567" y="256" width="16" height="32"/>
  <object id="56" x="695" y="256" width="16" height="32"/>
  <object id="57" x="840" y="194" width="16" height="32"/>
  <object id="58" x="950" y="290" width="16" height="32"/>
  <object id="59" x="1078" y="290" width="16" height="32"/>
  <object id="60" x="1208" y="258" width="16" height="32"/>
  <object id="61" x="1336" y="258" width="16" height="32"/>
  <object id="62" x="1462" y="162" width="16" height="32"/>
 </objectgroup>
 <objectgroup id="3" name="Object Layer 2">
  <object id="2" x="1408" y="704" width="160" height="32"/>
 </objectgroup>
</map>
